<>,1,2,3,4,5,6,7,8,9,10,11,12
A,S1,036-N,040-N,042-N,044-N,050-N,053-N,055-N,057-N, , , 
B,S2,036-1,040-1,042-1,044-1,050-1,053-1,055-1,057-1, , , 
C,S3,036-2,040-2,042-2,044-2,050-2,053-2,055-2,057-2, , , 
D,S4,036-M,040-M,042-M,044-M,050-M,053-M,055-M,057-M, , , 
E,S1,039-N,041-N,043-N,045-N,051-N,054-N,056-N, , , , 
F,S2,039-1,041-1,043-1,045-1,051-1,054-1,056-1, , , , 
G,S3,039-2,041-2,043-2,045-2,051-2,054-2,056-2, , , , 
H,S4,039-M,041-M,043-M,045-M,051-M,054-M,056-M, , , , 
<>,1,2,3,4,5,6,7,8,9,10,11,12
A,1.189,0.002,0.008,0.002,0.006,0.164,0.007,0.007,0.013,,,
B,0.319,0.005,0.022,0.008,0.008,0.157,0.013,0.021,0.881,,,
C,0.111,0.007,0.013,0.005,0.008,0.138,0.01,0.02,0.886,,,
D,0.004,4.152,4.305,3.692,3.84,2.136,1.491,3.642,3.993,,,
E,1.113,0.004,0.017,0.031,0.013,0.016,0.02,0.02,,,,
F,0.3,-0.003,0.001,0.024,0.859,0.019,0.017,0.025,,,,
G,0.077,0.005,0.005,0.031,0.82,0.019,0.018,0.037,,,,
H,0.009,1.235,2.144,3.785,4.04,4.237,1.922,3.983,,,,
Datum der Messung: 2001-12-31/Zeit der  Messung: 12:00:01,,,,,,,,,,,,
Quantiferon-Tb-ELISA,,,,,,,,,,,,
SUNRISE,,,,,,,,,,,,
Seriennummer des Instruments: 1234567890,,,,,,,,,,,,
Messmodus: Absorption,,,,,,,,,,,,
Messwellenlänge: 450 nm,,,,,,,,,,,,
Referenzwellenlänge: 620 nm,,,,,,,,,,,,
Messmodus: Normal,,,,,,,,,,,,
Einheit: OD,,,,,,,,,,,,
"Datum: 2001-12-31, Zeit: 12:00:01",,,,,,,,,,,,
