Your Input	Gene	Public Name	Status	Sequence Name	Other Name	Transcript	WormPep	Uniprot	TreeFam	RefSeq_mRNA	RefSeq_protein	RNAi Phenotype Observed	RNAi Phenotype Not Observed	Allele Phenotype Observed	Allele Phenotype Not Observed	Expr_pattern Tissue	Genomic Study Tissue	Expr_pattern LifeStage	Genomic Study LifeStage	Public Name	Disease Info	Human Ortholog	Description Type	Description Text
ugt-48	WBGene00015965	ugt-48	Live	C18C4.3	CELE_C18C4.3	C18C4.3,C18C4.3:wp142,C18C4.3.1,C18C4.3.2	CE38487	Q18081	N.A.	NM_072063.5	NP_504464.2	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	germ line,intestine,male-specific,OLL,PVD,Z4.aapppap (5L) nucleus	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	ugt-48	N.A.	ENSG00000168671|ParaSite-Compara;Panther,ENSG00000145626|ParaSite-Compara;Panther,ENSG00000174607|Panther,ENSG00000167165|Panther,ENSG00000241635|Panther,ENSG00000243135|Panther,ENSG00000244474|Panther,ENSG00000240224|Panther,ENSG00000242366|Panther,ENSG00000242515|Panther,ENSG00000241119|Panther,ENSG00000244122|Panther,ENSG00000173610|Panther,ENSG00000171234|Panther,ENSG00000197888|Panther,ENSG00000196620|Panther,ENSG00000135226|Panther,ENSG00000213759|Panther,ENSG00000156096|Panther	Automated_description	ugt-48 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-48 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information.
W04A4.6	WBGene00012235	W04A4.6	Live	W04A4.6	CELE_W04A4.6	W04A4.6,W04A4.6	CE35042	Q7YWR9	N.A.	NM_001026494.1	NP_001021665.1	N.A.	embryonic lethal,larval arrest,larval lethal,maternal sterile,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	intestine	N.A.	1-day post-L4 adult hermaphrodite Ce,4-cell embryo Ce,adult Ce,adult hermaphrodite Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	W04A4.6	N.A.	N.A.	Automated_description	Tiling array, RNA sequencing, and microarray studies indicate that W04A4.6 is regulated by daf-12, rsr-2, emr-1, lem-2, bar-1, set-2, wdr-5.1, jmjd-3.1, let-418, chd-3, hcf-1, sir-2.1, cdk-4, and cyd-1; RNA sequencing studies indicate that W04A4.6 is regulated by Rotenone; RNA sequencing and microarray studies indicate that W04A4.6 is enriched in the muscle cell and intestine.
bas-1	WBGene00000239	bas-1	Live	C05D2.4	CELE_C05D2.4	C05D2.4a,C05D2.4b,C05D2.4:wp127,C05D2.4:wp135,C05D2.4a,C05D2.4b	CE01141,CE37081	H2KYG4,O45137	TF313863	NM_001025980.2,NM_001025979.3	NP_001021151.1,NP_001021150.1	N.A.	embryonic development variant,embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,nicotine response variant,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	amplitude of sinusoidal movement increased,antibody staining variant,aqueous adaptation defective,backward locomotion variant,backward point velocity increased,body posture amplitude increased,body posture wavelength decreased,coiling frequency increased,dopamine deficient,fat content increased,forward locomotion increased,forward point velocity increased,frequency of body bend variant,head bend angle variant,male mating variant,male turning defective,nose movement increased,path curvature decreased,Pausing decreased,roaming increased,serotonin deficient,tail bend angle increased,thin,turning frequency variant	carbon dioxide avoidance variant,egg laying response to drug variant,lethal,life span variant	ADEL,ADER,ADFL,ADFR,AIML,AIMR,CEPDL,CEPDR,CEPVL,CEPVR,CP5,CP6,dopaminergic neuron,HSNL,HSNR,NSML,NSMR,PDEL,PDER,R1AL,R1AR,R1BL,R1BR,R2AL,R2AR,R2BL,R2BR,R3AL,R3AR,R3BL,R3BR,R4AL,R4AR,R4BL,R4BR,R5AL,R5AR,R5BL,R5BR,R6AL,R6AR,R6BL,R6BR,R7AL,R7AR,R7BL,R7BR,R8AL,R8AR,R8BL,R8BR,R9AL,R9AR,R9BL,R9BR,RIH,serotonergic neuron	AFD,AWB,BAG,dopaminergic neuron,germ line,intestine,neuron,NSM	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-cell embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	bas-1	N.A.	N.A.	Concise_description	bas-1 encodes a serotonin- and dopamine-synthetic aromatic amino acid decarboxylase (AAADC) that is required for the synthesis of serotonin from 5-hydroxytryptophan in vivo; mutations of bas-1 impair the turning step in male mating, the migration of AVM, SDQR, ALM, and BDU neurons during development.
memb-1	WBGene00007128	memb-1	Live	B0272.2	gosr-2.1,CELE_B0272.2	B0272.2,B0272.2	CE00851	P41941	TF313702	NM_077185.1	NP_509586.1	embryonic lethal	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	lethal	Cell	excretory cell,germ line	adult Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce,larva Ce	memb-1	progressive myoclonus epilepsy|Based on Sequence|DOID:891|ENSEMBL:ENSG00000108433|OMIM:614018	ENSG00000108433|ParaSite-Compara;Panther,ENSG00000262633|ParaSite-Compara;Panther	Automated_description	memb-1 is an ortholog of human GOSR2 (golgi SNAP receptor complex member 2) and RP11-156P1.2; memb-1 is involved in embryo development; memb-1 is predicted to have SNAP receptor activity, based on protein domain information; memb-1 is expressed widely.
C24B9.3	WBGene00016048	C24B9.3	Live	C24B9.3	CELE_C24B9.3	C24B9.3,C24B9.3b:wp250,C24B9.3	CE29672	O76430	N.A.	NM_001028500.4	NP_001023671.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	germ line,intestine	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,3-fold embryo Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,adult male Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	C24B9.3	N.A.	ENSG00000179403|Panther,ENSG00000162510|Panther,ENSG00000132561|Panther,ENSG00000124159|Panther,ENSG00000132031|Panther,ENSG00000205221|Panther,ENSG00000100473|Panther,ENSG00000101203|Panther,ENSG00000187955|Panther,ENSG00000163359|Panther,ENSG00000165816|Panther,ENSG00000206384|Panther,ENSG00000172752|Panther,ENSG00000111799|Panther	Automated_description	C24B9.3 is an ortholog of human COCH (cochlin), MATN1 (matrilin 1, cartilage matrix protein), MATN2 (matrilin 2), MATN4 (matrilin 4), MATN3 (matrilin 3) and VIT (vitrin) and members of the Fibronectin type III domain containing family including VWA1 and COL (Collagens) family including COL6A3; microarray studies indicate that C24B9.3 is regulated by Methylmercuric chloride, Cry5B, Chlorpyrifos, Diazinon, Humic substances, R24, Paraquat, Colistin, Allantoin, and Sirolimus; tiling array and RNA sequencing studies indicate that C24B9.3 is enriched in the intestine and germ line.
Y45F10B.13	WBGene00012875	Y45F10B.13	Live	Y45F10B.13	CELE_Y45F10B.13	Y45F10B.13a,Y45F10B.13b,Y45F10B.13c,Y45F10B.13:wp87,Y45F10B.13:wp131,Y45F10B.13a,Y45F10B.13b,Y45F10B.13c	CE32022,CE37429,CE39839	G5EDA8,G5EF70,G5EGA2	TF351783	NM_001047567.1,NM_001028297.4,NM_001028296.1	NP_001023467.1,NP_001023468.1,NP_001041032.1	embryonic lethal	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	germ line,muscle cell	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,11-15 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	Y45F10B.13	N.A.	N.A.	Automated_description	Y45F10B.13 is involved in embryo development.
ugt-46	WBGene00015141	ugt-46	Live	B0310.5	CELE_B0310.5	B0310.5,B0310.5	CE03878	Q10941	N.A.	NM_075711.5	NP_508112.1	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	ALM,DA neuron,germ line,I5 neuron,intestine,PLM,retrovesicular ganglion,SAB,VA neuron	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	ugt-46	N.A.	ENSG00000168671|ParaSite-Compara;Panther,ENSG00000145626|ParaSite-Compara;Panther,ENSG00000174607|Panther,ENSG00000167165|Panther,ENSG00000241635|Panther,ENSG00000243135|Panther,ENSG00000244474|Panther,ENSG00000240224|Panther,ENSG00000242366|Panther,ENSG00000242515|Panther,ENSG00000241119|Panther,ENSG00000244122|Panther,ENSG00000173610|Panther,ENSG00000171234|Panther,ENSG00000197888|Panther,ENSG00000196620|Panther,ENSG00000135226|Panther,ENSG00000213759|Panther,ENSG00000156096|Panther	Automated_description	ugt-46 is an ortholog of human UGT3A2 (UDP glycosyltransferase family 3 member A2) and UGT3A1 (UDP glycosyltransferase family 3 member A1); ugt-46 is predicted to have transferase activity, transferring hexosyl groups, based on protein domain information.
C06G4.6	WBGene00044446	C06G4.6	Live	C06G4.6	CELE_C06G4.6	C06G4.6,C06G4.6	CE38773	Q4PJ09	TF322207	NM_001038260.1	NP_001033349.1	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	N.A.	C06G4.6	N.A.	N.A.	Automated_description	Microarray, tiling array, and RNA sequencing studies indicate that C06G4.6 is regulated by nhr-114, rsr-2, bar-1, ubc-9, clk-1, ham-3, and dpy-21; microarray and RNA sequencing studies indicate that C06G4.6 is regulated by Tunicamycin, Multi-walled carbon nanotubes, D-glucose, and Colistin.
clec-174	WBGene00021580	clec-174	Live	Y46C8AL.2	Y46C8AL.b,Y46C8AL.b,Y46C8AL.f,Y46C8AL.f,Y46C8AL.g,Y46C8AL.g,CELE_Y46C8AL.2	Y46C8AL.2,Y46C8AL.2:wp154,Y46C8AL.2:wp156,Y46C8AL.2	CE40157	Q9N3W8	TF317818	NM_068040.2	NP_500441.2	pathogen susceptibility increased	embryonic lethal,larval arrest,larval lethal,maternal sterile,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	DA neuron,excretory cell,intestine,VA neuron	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,4-days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,L4-adult lethargus Ce,larva Ce	clec-174	N.A.	N.A.	Automated_description	clec-174 is involved in defense response.
C25F9.4	WBGene00007724	C25F9.4	Live	C25F9.4	CELE_C25F9.4	C25F9.4,C25F9.4:wp87,C25F9.4:wp101,C25F9.4	CE33975	O62078	TF322018	NM_075377.3	NP_507778.3	N.A.	embryonic lethal,larval arrest,larval lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,slow growth,sterile progeny,Variant	N.A.	N.A.	N.A.	intestine	N.A.	1-cell embryo Ce,1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,all stages Ce,blastula embryo Ce,dauer larva Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce,larva Ce	C25F9.4	N.A.	N.A.	Automated_description	C25F9.4 is predicted to have ATP binding activity, based on protein domain information.
Y51H4A.7	WBGene00013103	Y51H4A.7	Live	Y51H4A.7	CELE_Y51H4A.7	Y51H4A.7,Y51H4A.7:wp109,Y51H4A.7.1,Y51H4A.7.2	CE35671	Q9NAE2	TF314306	NM_070563.4	NP_502964.2	N.A.	embryonic lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,Variant	N.A.	N.A.	N.A.	hypodermis	N.A.	1-day post-L4 adult hermaphrodite Ce,2-days post-L4 adult hermaphrodite Ce,3-days post-L4 adult hermaphrodite Ce,6-days post-L4 adult hermaphrodite Ce,7-10 days post-L4 adult hermaphrodite Ce,10-days post-L4 adult hermaphrodite Ce,20-days post-L4 adult hermaphrodite Ce,adult Ce,adult hermaphrodite Ce,embryo Ce,L1 larva Ce,L2 larva Ce,L3 larva Ce,L4 larva Ce	Y51H4A.7	N.A.	ENSG00000159650|ParaSite-Compara;Inparanoid_8;Panther	Automated_description	Y51H4A.7 is an ortholog of human UROC1 (urocanate hydratase 1); Y51H4A.7 is predicted to have urocanate hydratase activity, based on protein domain information.
let-653	WBGene00002827	let-653	Live	C29E6.1	CELE_C29E6.1	C29E6.1a,C29E6.1b,C29E6.1c,C29E6.1:wp131,C29E6.1a:wp167,C29E6.1a.1,C29E6.1a.2,C29E6.1b.1,C29E6.1b.2,C29E6.1c.1,C29E6.1c.2	CE40548,CE37323,CE05332	G5ECH8,Q27394,Q5WRN8	TF318269	NM_001026166.3,NM_001026165.4,NM_001268665.1	NP_001021337.1,NP_001021336.2,NP_001255594.1	age associated fluorescence increased,exploded through vulva,locomotion variant,reduced brood size,shortened life span,sterile	embryonic lethal,lethal,maternal sterile,organism morphology variant,postembryonic development variant,reduced brood size,shortened life span,Variant	early larval lethal,excretory canal morphology variant,L2 arrest,larval arrest,pharyngeal morphology variant,sterile	N.A.	body wall musculature,excretory cell,excretory duct cell,excretory socket cell,head neuron,hypodermis,intestine,nervous system,rectal epithelial cell,rectal epithelium,reproductive system,seam cell,vulva,vulval cell	N.A.	adult Ce,embryo Ce,larva Ce	N.A.	let-653	N.A.	N.A.	Concise_description	let-653 encodes a mucin-like protein similar to the highly glycosylated mucins secreted by the apical surface of epithelia and believed to provide a protective barrier to exposed cellular surfaces; LET-653 is required for viability, locomotion, and for maintaining the tubular epithelial structure of the excretory cell canals.
